Product,Subtitle,Price,Shipping_Cost,Shipping_Country,Rating,Bids,Bid_Time_Left,Product_Url
3x Dell Server HD Caddy - MX-09D988-70920 & MX-0YC340 P/N 0E274 & CD399,Pre-Owned,$15.00,+$26.50 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/185257540119?hash=item2b2235ba17:g:PQwAAOSwX-Nd-HmR
Dell Inspiron 15 5568 Motherboard Intel i3-6100U 2.3GHz JV40X w/ Heatsink Fan,Pre-Owned,$149.99,+$44.50 ,United States,5.0,,,https://www.ebay.com/itm/403411119907?epid=1184340337&hash=item5ded2d2f23:g:JIUAAOSwYk1h4f9M
NEW Genuine Dell Slim Soundbar SB521A U2421E P2721Q P3221D P3421W MRNJR,Open Box,$33.99,+$22.45 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/234377898670?hash=item369202eaae:g:YGoAAOSwBX1h4ixf
Dell L230P-00 230 Watt Power Supply N8372 For OptiPlex GX520 Systems,Pre-Owned,$20.00,+$212.12 ,United States,,,,https://www.ebay.com/itm/304308281687?epid=1600672707&hash=item46da2fe157:g:W-EAAOSwnpFh4fl1
"Dell Latitude E6320 13.3"" i5-2520M 2.50GHz 4GB 320GB HDD DVD+RW WIN10 Laptop",Pre-Owned · Dell,$34.95,+$107.10 ,United States,Time left,0 bids,5d 6h left,https://www.ebay.com/itm/393870092856?hash=item5bb47caa38:g:DK8AAOSweOhh4KlA
MYC25 Genuine Dell PowerEdge FC630 Server Copper Heatsink CPU2 Cooling Assembly,Pre-Owned,$39.98,+$31.50 ,United States,,,,https://www.ebay.com/itm/143102698003?hash=item215195e213:g:B64AAOSwaVRcSfCB
Dell C597M R210 R310 R410 R415 2/4 Post 1U Static Rackmount Rack - 0C597M,Open Box,$45.99,+$76.85 ,United States,5.0,,,https://www.ebay.com/itm/234105571615?epid=8017979410&hash=item3681c7891f:g:OEMAAOSwoAZfWqM9
5JW7M DELL PowerEdge R720 Server CPU Processor Heatsink,Pre-Owned,$6.58,+$67.75 ,United States,5.0,,,https://www.ebay.com/itm/133130026161?epid=1809203994&hash=item1eff2afcb1:g:~kwAAOSwSe1dQLNW
Dell Fan 9CRA0412G5038,Pre-Owned,$89.00,+$490.43 ,United States,5.0,,,https://www.ebay.com/itm/114354738365?epid=1600244774&hash=item1aa012d4bd:g:wp0AAOSw6dhfNTjD
"The Language Of Fear by Del James, Dell Books 1st Edition Paperback, Feb 1995",Pre-Owned,$2.99,+$20.00 ,United States,Time left,0 bids,6d 3h left,https://www.ebay.com/itm/294725881899?hash=item449f08102b:g:oSkAAOSwJ1dh4ceR
Dell Latitude E7440 Ultrabook 34Wh 11.1V Rechargeable Li-Polymer Battery 909H5,New – Open box,$44.21,+$59.20 ,United States,4.5,,,https://www.ebay.com/itm/193767081367?epid=1640990528&hash=item2d1d6b0597:g:nfEAAOSwaIdg3Gp7
Dell Combat Series Combat - The War with Japan VG,Pre-Owned,$4.00,+$19.45 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/133994852750?hash=item1f32b7318e:g:I4AAAOSwIchh4eoo
Dell Latitude E7240 Laptop Motherboard i5-4310U 2.0 GHz DDR3 GMYR8 LA-9431P,Pre-Owned,$54.99,+$44.50 ,United States,4.0,,,https://www.ebay.com/itm/194442029700?epid=1734660866&hash=item2d45a5ea84:g:OHkAAOSwpY5h302A
Dell Latitude E5450 Laptop i5 Dual-Core 8GB 256GB SSD Win 10 Pro B v.WAA,Refurbished · Dell · 256 GB,$209.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/202980018577?hash=item2f428d4991:g:ia4AAOSwf4lerBzO
Dell Latitude D630 14.1'' Notebook Laptop Computer ~ For Parts or Repair,Parts Only · Dell,$59.99,+$74.00 ,United States,,,,https://www.ebay.com/itm/324996756965?hash=item4bab50f5e5:g:udMAAOSwf-Bh4ffb
Dell Latitude D510 14.1'' Notebook (Intel Pentium M) Parts/Repair AS IS,Parts Only · Dell,$17.95,+$74.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/284145410383?_trkparms=ispr%3D1&hash=item422862e14f:g:v54AAOSwdONf~S9Y&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2KCF0uOCe7x6kGAHMdys%252F7ZB5Ts%252FrHrhDoeluC0cfK6butRbm3h7A%252BCEHmGb7X89c%252BSJt%252BxmsjaqOw2FGY3LZajbE4eFeXlnwgVC%252F0nnMGlcymZ0yTW5a%252Bel8V9KNvCEdTpjJwKDAjInpVgCjO1vQ06ajlOi3DHFAkfSInW6qrLfpMf6HL1A4OrCbaEMErTkwWB%252FK47OxN7WHPQ6MwDvnFuQD%252FVi%252FrNpf56QF8EXdk8bF9dfmOxrtqJVI0n919gpxMiM2EwYFSWGvq3PZeB8H4HPPSigUdQRE9uPMMkd9UUn%252FiDhufrgLJm%252BVq3i8JwcK2%252FCUiWmByDu9QSCwbzFBP0wcyZYn4dFhzXCJQRZH%252FfDfQHvZtvji84416j8FU5IMCqUAFzxdfWOsk2hlCKD%252FvsUjE7LGFRgoOw0u6z%252B%252FeUu%252B3SNtp9NfGRmNRXTtMuru27JR3snMCGLL5Lx7fZMEk1jk6e6lghsyxanQeEyH8A8XScK7DzTrl6SIZjMwGuE2ty8V8aVUlnXtw9PX4IDDOa%252BJ1ATSGRsuTUZZ0xn0qg8bHMnYIKM6Xj9BgAaT2ub1F3i2JylDyzPgPzGbQY3AxuKATMhSi0eu6abSlFLnc6LrOkpnK3BtcUGnTKYEv9w8TGpihSuBaSacVlVKXamu2ELSmdw5KpuWYfEVhXo5ZuMttjkPC2r3y250lT1n9LFaphIGQkr2VorSMJO8iNsBVQb5o2ybTcnQjtPu5bh9gMCiP3MseHBp2nB1O2f7VFD8pdCkrSZz7vuiVZ%252B17SNv6gBT8XseyVbvll7JFSAUl4q%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Inspiron 600M 14'' Notebook (Intel Pentium M 1.60GHz) - Parts/Repair,Parts Only · Dell,$17.95,+$79.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274960169474?_trkparms=ispr%3D1&hash=item4004e73a02:g:5koAAOSw59hhTjt7&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6vOT7%252Bgn9Y69B8d60WRnyFxpEqH6ShYwxsJ5e8vQrwnG81NZCdTn0%252FOdu%252FWk5hdCpzEN2uxHA04TfJYPdg2ZVCMAnFA89lfkjPTpF03Y3ZfBZAOXlNxAS3Q93Hugbc96CHZUucuzdO5yo5ala4oXvOnxFWIPNgL5Atrgs9AkYCCWsvBflLooyUhWXrTnaPwBHW2CZobaUlKwE7srQE53FGSNVbX3%252FAYoDMFU%252F7p35UrFoxrKXnPyg4FWhGwhUyMr5DtYbyn0lGHhno87OVNTA4goQ9GKmC%252Fnp%252FT6HTfLuoi3fbOSLEKFZzWEgrGI5fjCbntCh4SRBGFHzSZJsC7vxW0CfQpr8Opp4fG9JmFoxGQqwmVrwPGTmZC%252FW%252FwAY9a7HtChEXBUnDUYdSFQJJlrYQwRJz0g9uoPILIYc%252F4Gw7nqW8xchMuggvk%252B%252FptwDB%252B%252BQnbTaBGeueDa1DkuZT67V2sZkhJwBg7z9SiM72u%252FtwGM7rNhYEWekZ6wYAVw8lme4eZoeXU2U2CdS2WEEoE9Aui7sSq59jkI9I68AzoIorJ2nl8t4UuKM96naUMo0%252F8sx3SeMiRyYIvxCyUQWRdYv%252F%252FWfdwFFt%252FAQyC6QuUs%252BU4QEikBflDl5hMZWl7bzkcEZEtQ8IyKQJyHpjR9%252Fka2UzWH%252Byf5SJieiDKaJb2iM6yEOOVBwfdRLpD3C3VXyZf%252B626q1316bI4NPeMaDgxZECBWbvbXHXhlhpT6BfN9FwUCSrGrrmOVOF9yhJC3X8wvEg0urNKPfBP2MYVKvAWXeycnMKvMWZhmwMrU7lRDDFay%7Cclp%3A2334524%7Ctkp%3ABFBM7q_C5stf
A4051428 - Dell Compatible 8GB PC3-10600 DDR3-1333Mhz 2Rx4 1.35v ECC RDIMM,Brand New,$49.95,+$75.00 ,United States,,,,https://www.ebay.com/itm/143181580239?epid=14030729870&_trkparms=ispr%3D1&hash=item21564987cf:g:v3sAAOSwAnxck9LV&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYkmV%252BaQobzjhRsk9UdXN%252FUDOAQG%252FbzJkPy3N8p1KpomFwbFbsL8OY1dgpNQxhw%252BOd%252FPkID5Ejx%252BS%252BNTf5OBYenoVnjc5ke7hHSCMR6KhEalrDVOQOgGOsoKTZSCPXiS3fd2GLETD5VQhO3ZlsYZj17A1ifbXEVhza%252FJ6UAG8RB5x3pfSFG0qMhrL09e2OvnXseAiYouRBUqbHA4IyP9040JlAglsj6%252FYNNBy1Bi7oHXW%252BYhGhn2iM7OAAVAWSZRVC8JONpfPmLx8ajH0oF34FR5FFM0jDlBC002SiV2LfSs2a3za9IjtlrPk%252BYB5rOAekkTagqlwVSdzSSj6dUoW7gBz71sdqbOUSsQIXeAKlgZoQzCRi8H7w5hrRyC3oookqMpB4vS9c%252BS1UHr7A8UtrB48Ibbj3OE%252BneWVBtM0kQksrkUr2t%252Fau3AOTgd1H%252F74r4ztA9ssAhTiAMDFkihKHmh8eBvX202Vc7f%252BubftVrAr9mHXg6qli6oJZ8GrXTS93%252B7lxUjasieiQbg41zT21GBU1T%252FbzypxU5y2wPDR3sFwCpjRT3CKtc2Uytckg1fz2vN9jp%252BHuWR4LXGNCURTzM42d%252BZLL1LAPo8irjnucICvUPoQUQ7OOU7PMNqXRs0S%252FUCr1T3ggjRQNHQHRKrt8tNCdhmHJOVqGqvdc%252B7GkAkTYfHQ3uwCpFAqA3dnoHSUeheTv2PZIFb%252FnYPKF6nQp2XbVjSNLAT61BGOEUcf5FqhY6iDPQGZfOZutaJSRTxYVTjVuSapeJzGIPAh6osv5JRgXNAWjD9lWl4mNxkXVvqCz%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
Dell Inspiron 6000 15.4'' Notebook - Parts/Repair AS IS,Parts Only · Dell,$22.45,+$83.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274982699095?_trkparms=ispr%3D1&hash=item40063f0057:g:NIsAAOSwEuxhZKL6&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6lvssIYw6PM6igTOTNY3hYhb5Pi%252BSCegV6bZ6U8oxNkhARLVSqwFdPiDhhdQ%252FCFcSME6JxDDO3CL9Fl4f9llQ9FPDj4MUyd9VIiiDOqBrSFPi7Ueq90pNrTR4G4NA1oxT4wbnBncTJd5TA48PJ9KjtSXjqdW%252BPJJdllkHUIcmdZk2cTRREy2QVC56%252B9NKuiULgFd2mL9xDW7WUqJCeJ7D8rMtgm6W4g%252BhdFjyuyYu9UfHsmynVLk%252FGdiRyIsN%252Bz%252FFX45OfZaGc4kb4A4y8b3wWh7tMkptiekuyrcvVAI59v%252BiaerCsyjyWwMV%252FXLMGgvJlJyPBwu4bqKJh%252BBS3%252FvirCT0PP8GIq7pL2NWGDg3%252BnuY1y%252FMAj90IxkorVR5DM2eYmSE37fBqJ4xf2VJpo5%252FfW32uF9t0rZ2K%252FqQve63jmRN8mRn8X%252Be2QYIPJ5Suqgq9HeanXijtkEe51Xya1fMEYLwpMimfTZBYUaqQtOsEoMVCsP%252BUzUhiVJpG%252FN3ChyDmkGlxJu2UUaDEp9PtRF7nMQ0hO%252FtVl1VvLTNXxKTJrBkJVVq%252FeXv%252FRRBXDU6GuBaM1feRvAqOlvx1LpmrKi6UDUKilHh27UzFtDcVzT4bcm3CLq5eYbnQV5FChC0k2qRDosyDCW93lkHohy1OXL%252BP1KYCQu2jFVobgrP%252FWOUtvCZD6q%252BkoekV74FbtqzxozTw8lg00KjYXYED7oEgX0ycirPDtJyGrEAW1HPZ6cYaQ0VI6eGbpNw2bHdlcRHJXIzOH8gU0zuq2axzrnJVI2oCpoj%252Bb6aGDsCWKz4y9be%252BG0%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
Dell Inspiron 1100 15'' Notebook - Parts/Repair AS IS,Parts Only · Dell,$17.95,+$87.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/284163179534?_trkparms=ispr%3D1&hash=item422972040e:g:6HcAAOSwUwRgEc92&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2BrCZaMJN1Loz%252BwxzhvMmZZ3wYSn9bc1A%252BYwvH26ASk9VNfxIWO%252BoX%252F9bHMAbttGK6%252BwK%252BooE%252F%252BqW4k0jonU1UjW3ZKHyr0r1o9ChJY%252BNs%252Fptc0zUlZnBVs26X8F6GSTYDesKC5y4Q2%252FzpRCvJXYNCqPxi%252BI4Ulq1btgqZOQJS9LEIM3Y3Co443ZzaLtmN4zx0rUihRmHvyIHDCIbLffw2gaWWe8ssa%252B%252FhOAs%252FFwIJC8ffE3IJiUplBMq%252B83XAfNk5CPp5fXyxJ92NlIX1Tg9AHy0mwpE3I5kxUjQEFISQ6mdivTpV%252B4XgUad%252BOe6yyND%252Bse3NPLKvvS%252BBlzeLe%252F7kY2J3JhJX3Kit%252FxQ5Qf3sCPJ48fNYz7H66wklXrw7WVBdGt6Cp%252BU9Nu9a96Nqk7WtV4cgLDdNFSnmCqJgyVzd0T4DJ3qd2TM8h519Tk5kdVHvKs6HCAUW5FEpIYZCKVmFWUS6XtbIFdJ7Lms%252BDVW3SsyCyIaNCN7s%252B9uQEnx5M4YgcgqYrrBLz9FLTHJqqLTCadHbtkZrYLbNOKG2hfHeLInoSA9%252BtyhGBPg62102%252BWd19mcBvA6w1Ha%252BkRHLBX6lNkiB%252BpYEW%252BaHSBYwdzALyeI77hANXHGoWL008YkIZm5MzfJf0YoWST1AHc%252BOT5O6nJKG%252BkrP24vuP5VxK5XrF17YjiCnUdEY5AMkocHus9DaYJ95ffySJfeslm4hSI08Jqkq5Ez12OHV%252BsSSR98hrNM2IJUKsN2k%252BhcHWr77sQQR5zWy%252Fjq7jdclWppxNdmkZqDxJY76AmKS9dnC6TjlUF%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
USA7 #3092 U/A GOLDEN REPLICA FDC Riverboat Sylvan Dell,,$4.28,+$2.75 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/194046048756?_trkparms=ispr%3D1&hash=item2d2e0bb9f4:g:WfgAAOSwahlge7GP&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd3M8ngECaRA0SmyU4KT%252FnuzYtVq4zRWmSI28QenQYScvIG62AD8rNuvFo30k09uyVnvx3%252B8T0gby7LC1BqO1inGECuo4atgyBKwU62Ye0izIVEBZZshz40jsGplwfGEj9RHkygmDWzrjVbnAjfPRg4SiNmIeEIHe4kqQFBz%252BvgxDDd5PJCXbdcsHnOFFU%252FcOyYWghJmqPBWfFG3PJbKtoMIL%252BZmoobJvsLNqjasik9H1gXM2uUGg3zTgC%252BjUPzHffVahyUCV2rTYnZaQ%252FXKaKBvAmxBsZlL8gAlKYtvl6fv3pqnRaRWHUb0Be0TNoNeN9EVHKuTouMkbMnLE4BhK5bvv1RFufA%252FWnawoiR4bKben%252FOzE2JJdZBl4U0mQja8%252FkB%252F8TkxYZr%252FlLsCmoGmG42Ju4M64dcTUqwmKuvXkMKvPtBx9HTensQgMf3%252B5wvrfBPg%252FlubxaJEse9BMvIR%252BgMcWlEm1Cpq1djn70P1Zo1BrDQExqhSpwvY7WbNtdEp7tqLGnIvO3qi4EKzrhI%252BwM0VDliFUxVbhFz%252BPZac7fbZV%252FRx976DKGGLf0BLtt9Z9D0VBs9%252FsK%252FG6Br8%252Br4UoyaBQ4EEk3V0%252FkrUwu59SJBZdssfTRmxlBVZIqckXOMcUOAThARQM25Uk5xpRQGuNVJHhDYsjQIQDwAfL%252F1vvKKo6zaLx68ReMa2%252FosFZJ9umf2rZtYIwVz2pJMhogqScsyorWUgFB3Z9JVdwOV8naaA4do0pnz3fvh3DvMG7%252BivuOd9CY4xDttIY4V%252B%252FNLCABurIiZgFHuZBCFklMuB2swqm%252BBrfigWd8p7YD%252FbFeaia%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
Dell Latitude E7270 Touchscreen Laptop i5 Dual-Core 8GB 256GB SSD Win 10 Pro B,Refurbished · Dell,$229.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/402706882067?hash=item5dc3335e13:g:aqYAAOSwQjNgM~QL
"Dell Latitude 5289 12.5"" Touch 2 in 1 Laptop Core i7 16GB 256GB SSD Win 10 Pro",Refurbished · Dell · 256 GB,$394.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/203662696600?hash=item2f6b3e2098:g:XOsAAOSwiqRhcwDn
Dell Latitude E5430 Laptop i7-3520M Dual-Core Min 2.9GHz 8GB 256GB SSD Win10 Pro,Refurbished · Dell · 256 GB,$399.99,+$62.46 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/402815541344?hash=item5dc9ad6060:g:ZyUAAOSwb0hgix9Q
"Dell Latitude 7390 13.3"" Touch Laptop Core i5 8GB 256GB SSD Win 10 Pro 1 Yr Wty",Refurbished · Dell · 256 GB,$364.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/203695612676?hash=item2f6d346304:g:H-sAAOSwTNNhjnz4
"Dell Latitude E6420 14"" Core i5-2540M 2.60GHz 4GB 500GB HDD WIN10 DVD+RW Laptop",Pre-Owned · Dell · 500 GB,$39.95,+$107.10 ,United States,Time left,0 bids,5d 6h left,https://www.ebay.com/itm/363689609533?hash=item54ad97093d:g:rzYAAOSwnyZh4Kk-
Dell Latitude E5430 Laptop Parts/Repair BOOTS Intel Core i3-3110M 8GB RAM 500HDD,Parts Only · Dell · 8 GB,$83.99,+$81.60 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/185146131272?_trkparms=ispr%3D1&hash=item2b1b91c348:g:QygAAOSwRvBhhCWU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS7UXID%252BRPOSNsnm8kYPghtDkcWYputO%252FkGc8%252B5c6GhyN6OyG%252BebojVQJFymQBtXDJLlviyJlKgNA0QzSxloXfmx1wOnFPQuYdPxTcSmd7uSRoz2m4jWnv9G%252Fbrj0dC4l67YSANzL8oVixBZWMUp1ggU6k4TpWFxPbq280iWe%252BGdg%252FNBvBKsmafmNyRWQe6TIeVKcSW3v3e6kCRZucfBkin%252FVIa1iKLK%252FoLOy41f8nEOX1j3USItuT%252BAHa2LexbmFnHxyXkwBlvYpXl84DaqqV0uutewiLnShIZ3JKALiD8LaymZhsmHASYSRSYLJIPebzwP18FUV0YOJYiJyB18t0jf2Yr2xPK7Dp4CXrHdmsQyO4bGale1QPUWXBU6Z3OVH%252B01aCKhX6j0G5ZXCnme0sQvlu%252BpDUkkra8pj3EUy5bb7Imz6ofmTFK2W1rP6XevMGTHM9q0suoFLIQ9aTH3a1mQ0LUWXLLythCyHU5fiQu25pWQliDTW4U3CkaDFPRCO7JXpJVCXB%252BgrEqp9WjR2j8vJQRmCZfM6gSHd%252BhTXqSJf8B%252FoJFOHPSvUCNuKhOKdUpEYUj%252BsC%252BANF7XtVw0CMXmkZ%252F1fnxwRFRUWD9lvr7bzVhv5jf9YCMNH%252FpHDKPnc8K7y3MZzvMoZsS%252FK2FhCsCS0iJATwwVwdvy40XFKt7zZOW3Gls%252BewTEmtUPT7q9l3yZ8R0xfr14R5DJIfslGv0vXdYa8hYBApKNKmc6BsarNpzcCjKYz4N0YKjn76eDj1kK2oy5mLs2apgW4MV%252BhVN0kwwcuPaobiYhGaHQ8HiKoFBoh89iAW2%252B1T09uQXo45%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
Dell Inspiron 2200 14.1'' Notebook (Intel Celeron M) Parts/Repair AS IS,Parts Only · Dell,$26.95,+$83.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/284351286137?_trkparms=ispr%3D1&hash=item4234a84b79:g:TFkAAOSwU0Vg2hrG&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2HDtkMbQqRwH2TkPfre4QeN7KnrvftxiEegj7xb02zk%252BHfnEYgC7XkgqyhvHEdHdhncNbT%252BpNM4JxnDifTug1GVc7myfaJW%252FIt77qpb4Fcy4uwZlgAZUh6XcExvRFIQ9Lv0ZM72RPd%252BCc7OeLa85LSM3TZM3lUHfOQUvHzCLmK1vsb8eEnXZb64D9fRS9fMeOi5qg0GFW00zbV%252B3npXQ9V1UUMQooVJc4SW5lNfx1jtc6%252F1cGh5PZJ%252BicmZOoKENVyDBIDsaTGNwBdcBYVAgk1bwPNOvJAPXZzYKpkhWoQZklb9FF25%252BHgJIe8ADMY3B224%252FW36%252B80jrrLhlosPGX%252F2YKcZ5%252BRvuCEJ5Rln%252F8rifZn%252Fb9SQ8HLGP8j84l1MnTrPCtdPQQHhi8iTxXUJWsvi%252BoQAbyv7xXX%252BBpAX%252BPMHB%252FIg8Y24rX2BtIjKfVDOzZohx5pqtXM8CUz%252FbiqQ59u7tMaVZRM6s42CbrVs1%252BQP8UL2kYtOeKtu%252BMTFTgsPErNpLnH%252FbwAZz2%252BxeMNTFGU4eVSP29QPiDa6wkOncvaSXI8YTXxSmrJwaByvfxP81wSOmQhCDHj0EpShHfMNokg30QQEZTdlGfqFoNx%252F8WnhRreeBPpGncpcRSFdlyrgU3an56dwY8ZGUg%252FfAh82aojLh1%252BJ7K1C5HAmU6x%252F6sPUKIWpSjQ%252BKbdAgm78EoSFevAtbs%252FjtjuLm49gTSXxbJZ9BkwK8p2JYm38VsJ99elRNHJoGNLk9RY2tRcqPUEIV4BmagAWP7y2nHNon3KrFZAqH39FMLTJHWMMfHZxe%252BOHy%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
Dell Sports Magazine September 1965 Joe Namath Johnny Unitas GD 042216jhe,Pre-Owned,$16.48,+$19.99 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/381613545415?_trkparms=ispr%3D1&hash=item58d9f097c7:g:Qp8AAOSwiYFXGTQQ&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSQuF9OYLb3wphIAOfpJK8RhYlpO3dyk%252FV4y9lDE2vc1ebfsVaS25fm673PEL1LRTsqlEFSKFSrwEGznP7f%252BWeHIJRcPXPqw1OkU7uq%252FqiSa1gdmtfHrOPLK48mac%252BQrPuA68aXCFCW3VUR5L232hWuIM%252FlKfsX%252Fkj8KMR1LzQ%252BG0tvdX1NkVpu9fsh46mWhk20zZ5Xr1BjODK2rI25ZpArnxlEeyjlm%252BziAYrJpYYBM%252FruARfB%252BJS%252BAZTL0jzj54%252BkiRq%252FxfUkF%252Bs7%252F1SS4o%252BlV7UfYP6oNf1JonJHbu%252FrYTUfXI32yalEvJjQKki3E4%252FtUZjlbQwNYO6eW3L6W%252FA43kf49Wm%252FsuPehzbBhXwNufXm8n17vSJRDFZh3WVoKr9GCZ4omiYRxwJDFOPjzoAhnQ8hS%252FakXJdCnjyjU%252BWwooPqTfXtBeMJ5X1gcOb9LkZ1CyyHItDGkQeaQPWnik1hMxuo8RJjglz6lw4N27vhmAWGAXZwWD%252BpRKbYjm3WGNPOHG75z9H5ChK%252FxsTUT3YESgFYoYQExJDMcRoL0bwQxyaaahFhrvO3hb5oWQC%252FawvaIr9ov%252BfQPjMx154%252BcpOQlZFjx2zduRgH45nfcBQDOt0LfBCM2024mPOT4GoYUg85xtgQ7X7Bk%252FGUV%252FiZoiqOlkQ8KsDliUt5fttRPL%252Bs63vn%252Bo1PumURZ8C5xOOe%252B6Dhj4YViC2vP7kaTcV6IHHjdKhwVIh5OXcoTz%252B9UPyHM2baoJ0pKAK0e73bj0EU6rd1Cih5NOKxPN4%252F%252FFfeqe7FhWUGDIJul9miXyktVnHnBNFXoxdstQnfWcH6RJ%252BxETA%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
"Dell Latitude E7250 12.5"" Laptop Core i5 16GB 256GB SSD Win 10 Pro 1 Yr Wty B",Refurbished · Dell · 256 GB,$329.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/402523490102?hash=item5db8450736:g:1FsAAOSwej5gymRx
"Dell Latitude 3390 13.3"" Touch 2 in 1 Laptop Core i5 8GB 256GB SSD Win 10 Pro",Refurbished · Dell · 256 GB,$309.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/203591748653?hash=item2f67038c2d:g:N8oAAOSwcfZhMZLK
"Dell Latitude E5450 14"" Touch Laptop Core i5 8GB 256GB SSD Win 10 Pro 1 Yr Wty B",Refurbished · Dell · 256 GB,$269.99,+$80.42 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/194496440335?hash=item2d48e4280f:g:pe4AAOSwqAVhiZRA
dell inspironb130,Parts Only · Dell · 160 GB,$30.00,+$15.00 ,United States,Time left,0 bids,4d 12h left,https://www.ebay.com/itm/373870902430?hash=item570c713c9e:g:1zMAAOSwrqth3xE0
USA4 #3092 U/A PCS ARTCRAFT FDC STR2 Riverboat Sylvan Dell,,$2.80,+$1.75 ,United States,,,,https://www.ebay.com/itm/353372595204?_trkparms=ispr%3D1&hash=item5246a5e404:g:OY0AAOSwS0tgFxzO&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EFVtequAd2UXeKUwLlvwdHv1W%252Fx0Rzu8tqSZlq7hG6LEDwUO8Bw42QiIP3RxR%252B0gO2TaSJVC5YipyK79nkYhN9KPzJ3VwBqxulX5h4WiZPQkxPZBLx99DtxXhQFCeIXEiJd%252FwlviBFQAoaGM8ogh3dxL82kzJPfwcMOJvD%252FKGAsoYDMeI42JeisViarJLrtl%252BN8jIp8u0TMKS6PfYqqPNTPSXDttZsnFf750HKYtTrxynvsuSLU9%252FaKXqlMK9zDY7Bg9LM7vcGB%252FJOiH0qjKsa7KnYDCHihi5vOll9ursg4EQ%252BVdXnrZauGD7gWiVV5eJOzY4UlICsniahd1KvkTKCiZzcB7YI5jXAgTx6e78Q1U3SJsgOZGoDtzMh8e%252ByT2W3iIxDb2pj6nHOnB4HpUxRhOPhHVFsQT0IVEpxYdm8mxOqZkOSopnGY4PXphQchDIj8QayO2VYBY4ExAKMchzxTo2zTj6zg8OuA7JhP84vg1uHT%252BDZk7Zkt28mayDaLsS1DIG38Qri57c6YrA%252FfUmVhFN5TA9mHWAMLaKS2PMHE1uoynLT%252FZyt6HOVw%252BLiaSUVaObnHCig%252Fg%252FterEPblMVpg%252BhGw1wn0prMdoCNsEfyTFwXlnLh%252FBkkq5dmsgmO9%252FyFvIcFgFjCXPMkFL09PbC4B7tECgItdSMh8sEZqll6bfMWuB7JXaGlTrDVS1XnnCfTumYUWZPYQUdj1nBZsz8XEyIKRaWDGm%252Fa0qKF5IocE8dfYsfrebx4BAPUHyVMVagOwz60TM7nbsaIPRbusw4VN0K1uUxhqx4V4jZOfTt6T%7Cclp%3A2334524%7Ctkp%3ABFBM0OnC5stf
